clone_materializer_reference_count,descriptor_count,descriptor_preview_count,descriptor_preview_truncated_count,function_end_va,function_start_va,sample_descriptors,sample_rtti_names,sample_setup_refs,setup_reference_count
0,1,1,0,0x1401f118a,0x1401f1130,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f1136,1
0,1,1,0,0x1401f11ea,0x1401f1190,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f1196,1
0,1,1,0,0x1401f124a,0x1401f11f0,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f11f6,1
0,1,1,0,0x1401f12aa,0x1401f1250,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f1256,1
0,1,1,0,0x1401f130a,0x1401f12b0,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f12b6,1
0,1,1,0,0x1401f136a,0x1401f1310,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f1316,1
0,1,1,0,0x1401f13ca,0x1401f1370,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f1376,1
0,1,1,0,0x1401f142a,0x1401f13d0,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f13d6,1
0,1,1,0,0x1401f148a,0x1401f1430,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f1436,1
0,1,1,0,0x1401f14ea,0x1401f1490,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f1496,1
0,1,1,0,0x1401f154a,0x1401f14f0,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f14f6,1
0,1,1,0,0x1401f15aa,0x1401f1550,0x140b72210,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@PEAUHookProperties@12@AEAVClient@2@AEAUScriptState@12@@Z,0x1401f1556,1
1,1,1,0,0x1401f9c68,0x1401f9bc0,0x140b67868,.?AV<lambda_45b90754ea012d0c74368cb0e2e8c2db>@@,0x1401f9c52,1
1,1,1,0,0x14028f3de,0x14028f150,0x140b7b948,.?AV<lambda_9feb37d79c5e0fa4e0224d61d445e944>@@,0x14028f37c,1
1,1,1,0,0x1403cfd5b,0x1403cfcb0,0x140b83908,.?AV<lambda_d50de9f5fc89ef784b0153bee527a9a1>@@,0x1403cfcb6,1
1,1,1,0,0x1403d361b,0x1403d3280,0x140b83b18,.P6AXPEAVSoundInstance@audio@jag@@@Z,0x1403d35bd,1
1,1,1,0,0x1403d4a2e,0x1403d40e3,0x140b83bf0,.?AV<lambda_e728e559442b15763d7f8693d6bc690f>@@,0x1403d47c5,1
1,1,1,0,0x1403d8f39,0x1403d85c0,0x140b83b90,.?AV<lambda_3e3779b1b56a89795616ddc33daf37e5>@@,0x1403d8de2,1
1,1,1,0,0x1403f84c0,0x1403f830e,0x140b864d8,.?AV<lambda_b3415a4462f7272524c66f43ff448b71>@@,0x1403f830e,1
1,1,1,0,0x14041de19,0x14041dd63,0x140b863e8,.?AV<lambda_254b3c1ac0c2a29e36bd6e852c6182bf>@@,0x14041dddf,1
1,1,1,0,0x14041de75,0x14041de19,0x140b863b8,.?AV<lambda_4a8e15051ebfb52286544ac64d0ea744>@@,0x14041de34,1
1,1,1,0,0x14041e0e9,0x14041e033,0x140b86388,.?AV<lambda_007f6fafbac07e51e295954693c3b00b>@@,0x14041e0af,1
1,1,1,0,0x14041e145,0x14041e0e9,0x140b86358,.?AV<lambda_db86aa8226074ca112d2079e8357ad55>@@,0x14041e104,1
1,1,1,0,0x14041e3b9,0x14041e303,0x140b86328,.?AV<lambda_044a26ab1b0bdb3483b3a6c2bf5b2d66>@@,0x14041e37f,1
1,1,1,0,0x14041e415,0x14041e3b9,0x140b862f8,.?AV<lambda_88cd8a2f53e5f34c8597954904c37a75>@@,0x14041e3d4,1
1,1,1,0,0x140565f4d,0x140565e00,0x140b949e8,.?AV<lambda_1d15029b31dd0d6091f08bbd4ede2aec>@@,0x140565ee9,1
1,1,1,0,0x140566582,0x1405663fa,0x140b94a18,.?AV<lambda_c8240cd1ecbc632b7e6290a50b263edd>@@,0x140566491,1
1,1,1,0,0x14058f508,0x14058f122,0x140b99238,.?AV<lambda_af9126a867478998eb278aa185744fbb>@@,0x14058f245,1
1,1,1,0,0x14067a3b4,0x140679d20,0x140ba01b8,.?AV<lambda_7d4b82561c77c8b7c468226af580227e>@@,0x140679ed5,1
1,1,1,0,0x14070469d,0x14070454b,0x140ba4818,.?AV<lambda_6df2ce24140aa41ab41b6fcd98cb1499>@@,0x1407045b6,1
1,1,1,0,0x140726843,0x1407265c0,0x140ba73d8,.?AV<lambda_adcf947ad5d43ee3e869e01541f00eef>@@,0x140726793,1
1,1,1,0,0x14075471a,0x1407544f0,0x140ba8da0,.?AV<lambda_93d10b390faf03a1408d173555de750b>@@,0x140754668,1
1,1,1,0,0x14075bfe3,0x14075bbf0,0x140ba9320,.?AV<lambda_284e81b503b2adee33926bac20691593>@@,0x14075bf6f,1
1,1,1,0,0x14075c7ea,0x14075c440,0x140ba9350,.?AV<lambda_6f8e33ebf91f86107ed16a17b682d259>@@,0x14075c727,1
1,1,1,0,0x14079bf4e,0x14079bd20,0x140bab408,.P6AXAEAV?$fixed_string@D$0EA@$00Vallocator@eastl@@@eastl@@@Z,0x14079bda3,1
